Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
BHEL,02-Dec-19,26-Dec-19,PE,35,0.1,0.1,0.05,0.05,0.05,0.05,40,105.23,0.23,0,-150000,51.2
BHEL,02-Dec-19,27-Dec-19,PE,35,0,0,0,0.05,0.05,0.05,0,0,0,0,0,50
BHEL,04-Dec-19,27-Dec-19,PE,35,0,0,0,0.05,0.05,0.05,0,0,0,0,0,49.95
BHEL,05-Dec-19,26-Dec-19,PE,35,0,0,0,0.05,0.05,0.05,0,0,0,0,0,48.75
BHEL,06-Dec-19,26-Dec-19,PE,35,0,0,0,0.05,0.05,0.1,0,0,0,0,0,46.55
BHEL,09-Dec-19,26-Dec-19,PE,35,0.05,0.05,0.05,0.05,0.05,0.05,2,5.26,0.01,15000,15000,46
BHEL,10-Dec-19,26-Dec-19,PE,35,0.05,0.15,0.05,0.15,0.15,0.15,2,5.27,0.02,22500,7500,44.7
BHEL,11-Dec-19,26-Dec-19,PE,35,0,0,0,0.15,0.15,0.05,0,0,0,22500,0,44.2
BHEL,12-Dec-19,26-Dec-19,PE,35,0.05,0.05,0.05,0.05,0.05,0.05,3,7.89,0.01,45000,22500,45.2
BHEL,13-Dec-19,26-Dec-19,PE,35,0.05,0.05,0.05,0.05,0.05,0.05,2,5.26,0.01,60000,15000,46.65
BHEL,16-Dec-19,26-Dec-19,PE,35,0,0,0,0.05,0.05,0,0,0,0,60000,0,45.6
BHEL,17-Dec-19,26-Dec-19,PE,35,0,0,0,0.05,0.05,0,0,0,0,60000,0,45.9
BHEL,18-Dec-19,26-Dec-19,PE,35,0,0,0,0.05,0.05,0,0,0,0,60000,0,45.25
BHEL,19-Dec-19,26-Dec-19,PE,35,0,0,0,0.05,0.05,0,0,0,0,60000,0,44.45
BHEL,20-Dec-19,26-Dec-19,PE,35,0.05,0.05,0.05,0.05,0.05,0,2,5.26,0.01,75000,15000,44.85
BHEL,23-Dec-19,26-Dec-19,PE,35,0,0,0,0.05,0.05,0,0,0,0,75000,0,44.1
BHEL,24-Dec-19,26-Dec-19,PE,35,0,0,0,0.05,0.05,0,0,0,0,75000,0,43.5
BHEL,26-Dec-19,26-Dec-19,PE,35,0,0,0,0.05,0.05,0,0,0,0,75000,0,42.5
SAIL,02-Dec-19,26-Dec-19,PE,36,0.7,0.7,0.55,0.55,0.55,0.55,56,246.1,4.18,768000,96000,39.5
SAIL,03-Dec-19,26-Dec-19,PE,36,0.7,1.05,0.7,0.9,0.85,0.9,115,509.11,12.31,816000,48000,38.05
SAIL,04-Dec-19,27-Dec-19,PE,36,1.25,1.25,0.55,0.6,0.55,0.6,140,618.14,13.34,912000,96000,39.35
SAIL,05-Dec-19,27-Dec-19,PE,36,0.5,0.7,0.5,0.65,0.65,0.65,80,351.24,5.64,972000,60000,38.7
SAIL,06-Dec-19,27-Dec-19,PE,36,0.55,0.85,0.45,0.7,0.75,0.7,102,448.85,8.21,960000,-12000,38.3
SAIL,09-Dec-19,26-Dec-19,PE,36,0.7,0.7,0.4,0.45,0.4,0.45,80,350.3,4.7,852000,-108000,39.4
SAIL,10-Dec-19,26-Dec-19,PE,36,0.4,0.6,0.4,0.6,0.6,0.6,88,385.41,5.25,792000,-60000,38.25
SAIL,11-Dec-19,26-Dec-19,PE,36,0.55,0.75,0.45,0.55,0.55,0.55,64,280.86,4.38,792000,0,38.2
SAIL,12-Dec-19,26-Dec-19,PE,36,0.5,0.5,0.25,0.3,0.35,0.3,94,409.99,3.91,780000,-12000,39.8
SAIL,13-Dec-19,26-Dec-19,PE,36,0.25,0.25,0.15,0.25,0.25,0.25,55,238.97,1.37,756000,-24000,40.6
SAIL,16-Dec-19,26-Dec-19,PE,36,0.2,0.25,0.2,0.25,0.25,0.25,27,117.4,0.76,852000,96000,39.45
SAIL,17-Dec-19,26-Dec-19,PE,36,0.25,0.25,0.15,0.15,0.15,0.15,46,199.63,0.91,780000,-72000,40.85
SAIL,18-Dec-19,26-Dec-19,PE,36,0.15,0.15,0.1,0.1,0.1,0.1,19,82.33,0.25,984000,204000,41.05
SAIL,19-Dec-19,26-Dec-19,PE,36,0.1,0.1,0.05,0.05,0.05,0.05,21,90.95,0.23,852000,-132000,41.1
SAIL,20-Dec-19,26-Dec-19,PE,36,0.05,0.1,0.05,0.1,0.1,0.1,25,108.16,0.16,792000,-60000,41.55
SAIL,23-Dec-19,26-Dec-19,PE,36,0.05,0.05,0.05,0.05,0.05,0,7,30.28,0.04,792000,0,41
SAIL,24-Dec-19,26-Dec-19,PE,36,0,0,0,0.05,0.05,0,0,0,0,792000,0,41
SAIL,26-Dec-19,26-Dec-19,PE,36,0.05,0.05,0.05,0.05,0.05,0,1,4.33,0.01,792000,0,42.4
