Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-07-31,515.05,1,515.05,515.05,0.1,0.1,1
2025-08-01,511.65,1,515.05,515.05,0.0,0.0,-1
2025-08-04,537.8,-1,514.37,511.65,-3.3999999999999773,-0.6799999999999955,1
2025-08-05,537.7,1,519.0360000000001,537.7,23.33000000000004,4.666000000000008,1
2025-08-06,534.05,1,522.7688,537.7,18.663999999999987,3.7327999999999975,1
2025-08-07,532.9,1,525.75504,537.7,14.93119999999999,2.9862399999999982,1
2025-08-08,518.3,1,528.144032,537.7,11.944960000000037,2.3889920000000076,-1
2025-08-11,535.1,-1,526.1752256,518.3,-9.844032000000084,-1.968806400000017,1
2025-08-12,533.15,1,527.57018048,533.15,6.974774400000001,1.3949548800000002,1
2025-08-13,535.0,1,529.0561443839999,535.0,7.429819520000024,1.4859639040000048,1
2025-08-14,529.15,1,530.2449155072,535.0,5.943855616000064,1.1887711232000129,-1
2025-08-18,533.6,-1,530.0259324057599,529.15,-1.0949155071999712,-0.21898310143999425,1
2025-08-19,533.3,1,530.6807459246079,533.3,3.274067594240023,0.6548135188480046,1
2025-08-20,531.75,1,531.2045967396863,533.3,2.619254075392064,0.5238508150784128,1
2025-08-21,521.3,1,531.623677391749,533.3,2.095403260313674,0.4190806520627348,-1
2025-08-22,517.9,-1,528.8789419133992,517.9,-13.723677391748993,-2.744735478349799,-1
2025-08-25,521.45,-1,526.6831535307193,517.9,-10.97894191339924,-2.195788382679848,-1
2025-08-26,513.1,-1,523.9665228245755,513.1,-13.5831535307193,-2.71663070614386,-1
2025-08-28,497.65,-1,518.7032182596604,497.65,-26.316522824575486,-5.263304564915098,-1
2025-08-29,488.45,-1,512.6525746077283,488.45,-30.2532182596604,-6.050643651932081,-1
2025-08-28,497.65,-1,507.81205968618264,488.45,-24.20257460772831,-4.840514921545662,-1
2025-08-29,488.45,-1,503.93964774894613,488.45,-19.362059686182647,-3.8724119372365298,-1
2025-09-10,519.0,-1,500.8417181991569,488.45,-15.48964774894614,-3.097929549789228,1
2025-11-17,527.65,1,506.20337455932554,527.65,26.808281800843076,5.361656360168616,1
2025-11-17,527.65,1,510.4926996474604,527.65,21.44662544067444,4.289325088134888,1
2025-11-18,526.95,1,513.9241597179683,527.65,17.15730035253955,3.43146007050791,1
2025-11-19,513.65,1,516.6693277743747,527.65,13.72584028203164,2.745168056406328,-1
2025-11-20,504.85,-1,514.3054622194998,504.85,-11.819327774374642,-2.3638655548749283,-1
2025-11-24,481.0,-1,507.6443697755998,481.0,-33.30546221949976,-6.661092443899952,-1
2025-11-24,481.0,-1,502.31549582047984,481.0,-26.644369775599785,-5.328873955119957,-1
2025-11-25,476.6,-1,497.17239665638385,476.6,-25.715495820479816,-5.143099164095964,-1
2025-11-26,487.25,-1,493.0579173251071,476.6,-20.57239665638383,-4.114479331276766,-1
2025-11-27,488.0,-1,491.8963338600857,487.25,-5.807917325107098,-1.1615834650214196,-1
2025-11-28,488.65,-1,491.11706708806855,488.0,-3.89633386008569,-0.779266772017138,-1
2025-12-01,491.8,-1,490.6236536704548,488.65,-2.4670670880685748,-0.493413417613715,1
2025-12-02,484.15,1,490.22892293636386,488.65,-1.973653670454837,-0.39473073409096743,-1
2025-12-03,470.2,-1,486.2231383490911,470.2,-20.02892293636387,-4.005784587272774,-1
2025-12-04,459.85,-1,480.9485106792729,459.85,-26.37313834909105,-5.27462766981821,-1
2025-12-05,461.95,-1,476.7288085434183,459.85,-21.098510679272863,-4.219702135854573,-1
2025-12-08,453.85,-1,472.15304683473465,453.85,-22.8788085434183,-4.57576170868366,-1
2025-12-09,451.2,-1,467.9624374677877,451.2,-20.953046834734664,-4.190609366946933,-1
2025-12-10,451.15,-1,464.5999499742302,451.15,-16.81243746778773,-3.3624874935575466,-1
2025-12-11,457.8,-1,461.90995997938415,451.15,-13.449949974230208,-2.6899899948460417,-1
2025-12-12,482.2,-1,461.0879679835073,457.8,-4.1099599793841435,-0.8219919958768287,1
2025-12-15,486.45,1,466.16037438680587,486.45,25.362032016492662,5.072406403298533,1
2025-12-16,478.5,1,470.2182995094447,486.45,20.28962561319412,4.0579251226388235,1
2025-12-17,475.25,1,473.46463960755574,486.45,16.231700490555284,3.246340098111057,1
2025-12-18,472.0,1,476.0617116860446,486.45,12.98536039244425,2.59707207848885,-1
2025-12-19,478.25,-1,475.24936934883567,472.0,-4.061711686044589,-0.8123423372089178,1
2025-12-22,478.95,1,475.9894954790685,478.95,3.7006306511643174,0.7401261302328636,1
2025-12-23,485.65,1,477.92159638325484,485.65,9.660504520931454,1.9321009041862909,1
2025-12-24,484.35,1,479.4672771066039,485.65,7.72840361674514,1.5456807233490282,1
2025-12-26,479.4,1,480.7038216852831,485.65,6.18272289339609,1.236544578679218,-1
2025-12-29,471.15,-1,478.7930573482265,471.15,-9.55382168528314,-1.910764337056628,-1
2025-12-30,469.75,-1,476.9844458785812,469.75,-9.043057348226512,-1.8086114696453024,-1
2025-12-31,482.45,-1,475.53755670286495,469.75,-7.234445878581198,-1.4468891757162397,1
2026-01-01,502.0,1,480.83004536229197,502.0,26.462443297135053,5.292488659427011,1
2026-01-01,502.0,1,485.06403628983355,502.0,21.16995463770803,4.2339909275416066,1
2026-01-01,502.0,1,488.45122903186683,502.0,16.935963710166448,3.3871927420332897,1
2026-01-05,516.9,1,494.14098322549347,516.9,28.448770968133147,5.68975419362663,1
2026-01-06,514.85,1,498.6927865803948,516.9,22.759016774506506,4.551803354901302,1
2026-01-07,512.6,1,502.3342292643158,516.9,18.207213419605182,3.6414426839210368,1
2026-01-08,499.7,1,505.24738341145263,516.9,14.565770735684168,2.913154147136834,-1
2026-01-09,490.25,-1,502.2479067291621,490.25,-14.997383411452631,-2.9994766822905263,-1
2026-01-12,498.8,-1,499.84832538332967,490.25,-11.997906729162082,-2.3995813458324164,-1
2026-01-13,494.15,-1,498.7086603066637,494.15,-5.6983253833296885,-1.1396650766659377,-1
2026-01-14,494.65,-1,497.79692824533095,494.15,-4.5586603066637394,-0.911732061332748,-1
2026-01-16,492.8,-1,496.79754259626475,492.8,-4.996928245330935,-0.999385649066187,-1
2026-01-19,486.35,-1,494.7080340770118,486.35,-10.447542596264725,-2.089508519252945,-1
2026-01-20,479.1,-1,491.58642726160946,479.1,-15.60803407701178,-3.121606815402356,-1
2026-01-21,477.8,-1,488.8291418092876,477.8,-13.786427261609447,-2.7572854523218897,-1
2026-01-22,492.35,-1,486.62331344743006,477.8,-11.02914180928758,-2.2058283618575163,1
2026-01-23,477.65,1,484.8586507579441,477.8,-8.823313447430053,-1.7646626894860107,-1
2026-01-27,440.05,-1,475.89692060635525,440.05,-44.808650757944065,-8.961730151588814,-1
2026-01-28,446.25,-1,468.7275364850842,440.05,-35.84692060635524,-7.169384121271048,-1
2026-01-29,459.0,-1,464.2320291880674,446.25,-22.477536485084215,-4.495507297016843,-1
2026-01-30,459.8,-1,463.1856233504539,459.0,-5.232029188067372,-1.0464058376134744,-1
2026-02-01,440.8,-1,458.7084986803631,440.8,-22.385623350453898,-4.47712467009078,-1
2026-02-02,451.5,-1,455.1267989442905,440.8,-17.908498680363095,-3.5816997360726193,-1
2026-02-03,459.15,-1,454.4014391554324,451.5,-3.626798944290499,-0.7253597888580998,1
2026-02-04,468.85,1,457.29115132434595,468.85,14.448560844567623,2.889712168913525,1
2026-02-05,473.95,1,460.62292105947677,473.95,16.658848675654042,3.3317697351308087,1
2026-02-06,473.15,1,463.28833684758143,473.95,13.327078940523222,2.6654157881046445,1
2026-02-09,480.1,1,466.65066947806514,480.1,16.81166315241859,3.362332630483718,1
2026-02-10,483.7,1,470.06053558245213,483.7,17.04933052193485,3.40986610438697,1
2026-02-11,482.35,1,472.7884284659617,483.7,13.639464417547856,2.7278928835095715,1
2026-02-12,479.5,1,474.97074277276937,483.7,10.911571534038274,2.1823143068076547,1
2026-02-13,474.7,1,476.7165942182155,483.7,8.729257227230619,1.7458514454461238,-1
2026-02-16,489.95,-1,476.3132753745724,474.7,-2.0165942182155163,-0.4033188436431033,1
2026-02-17,487.35,1,478.52062029965793,487.35,11.03672462542761,2.207344925085522,1
2026-02-18,486.25,1,480.2864962397264,487.35,8.829379700342088,1.7658759400684176,1
2026-02-19,480.1,1,481.6991969917811,487.35,7.0635037602736475,1.4127007520547297,-1
2026-02-23,486.4,-1,481.37935759342486,480.1,-1.5991969917810707,-0.31983939835621417,1
2026-02-24,490.25,1,483.1534860747399,490.25,8.870642406575143,1.7741284813150289,1
2026-02-25,490.05,1,484.5727888597919,490.25,7.096513925260126,1.4193027850520252,1
2026-02-26,498.65,1,487.3882310878335,498.65,14.077211140208078,2.815442228041616,1
2026-02-27,487.75,1,489.6405848702668,498.65,11.261768912166474,2.252353782433295,-1
2026-03-02,481.3,-1,487.97246789621346,481.3,-8.34058487026681,-1.668116974053362,-1
2026-03-04,468.05,-1,483.9879743169708,468.05,-19.922467896213448,-3.98449357924269,-1
2026-03-05,479.5,-1,480.8003794535766,468.05,-15.93797431697078,-3.1875948633941564,-1
2026-03-09,478.9,-1,480.4203035628613,478.9,-1.9003794535766474,-0.3800758907153295,-1
2026-03-10,488.7,-1,480.11624285028904,478.9,-1.5203035628613293,-0.30406071257226586,1
2026-03-11,488.0,1,481.69299428023123,488.0,7.883757149710959,1.5767514299421919,1
2026-03-12,518.3,1,489.01439542418495,518.3,36.60700571976872,7.321401143953745,1
2026-03-13,512.95,1,494.871516339348,518.3,29.285604575815,5.857120915163001,1
2026-03-16,505.15,1,499.5572130714784,518.3,23.428483660651978,4.6856967321303955,1
2026-03-17,505.8,1,503.3057704571827,518.3,18.742786928521582,3.7485573857043164,1
2026-03-18,509.1,1,506.30461636574614,518.3,14.994229542817266,2.998845908563453,1
2026-03-19,505.9,1,508.7036930925969,518.3,11.995383634253812,2.3990767268507627,-1
2026-03-20,507.05,-1,508.1429544740775,505.9,-2.803693092596916,-0.5607386185193832,-1
2026-03-23,482.7,-1,503.054363579262,482.7,-25.44295447407751,-5.0885908948155025,-1
2026-03-24,484.0,-1,498.9834908634096,482.7,-20.354363579261985,-4.070872715852397,-1
2026-03-25,494.3,-1,495.98679269072767,484.0,-14.9834908634096,-2.99669817268192,-1
2026-03-27,484.8,-1,493.7494341525821,484.8,-11.186792690727657,-2.2373585381455317,-1
2026-03-30,471.6,-1,489.3195473220657,471.6,-22.149434152582103,-4.429886830516421,-1
2026-04-01,484.15,-1,485.77563785765255,471.6,-17.719547322065694,-3.543909464413139,-1
2026-04-02,491.1,-1,485.45051028612204,484.15,-1.6256378576525776,-0.3251275715305155,1
2026-04-06,496.7,1,487.70040822889763,496.7,11.24948971387795,2.24989794277559,1
2026-04-07,487.8,1,489.5003265831181,496.7,8.99959177110236,1.799918354220472,-1
2026-04-08,502.05,-1,489.1602612664945,487.8,-1.7003265831181125,-0.3400653166236225,1
2026-04-09,489.15,1,489.1582090131956,489.15,-0.01026126649452408,-0.002052253298904816,-1
2026-04-10,488.85,-1,489.0965672105565,488.85,-0.30820901319555105,-0.06164180263911021,-1
2026-04-13,509.6,-1,489.0472537684452,488.85,-0.24656721055646358,-0.04931344211129272,1
2026-04-15,528.2,1,496.8778030147562,528.2,39.15274623155483,7.830549246310966,1
2026-04-16,535.95,1,504.69224241180495,535.95,39.07219698524386,7.814439397048773,1
2026-04-17,538.05,1,511.36379392944394,538.05,33.357757588195,6.671551517639,1
2026-04-20,543.05,1,517.7010351435551,543.05,31.68620607055601,6.337241214111202,1
2026-04-21,546.65,1,523.4908281148441,546.65,28.94896485644483,5.789792971288967,1
2026-04-22,560.55,1,530.9026624918753,560.55,37.05917188515582,7.411834377031164,1
2026-04-23,561.4,1,537.0021299935003,561.4,30.4973375081247,6.0994675016249404,1
2026-04-24,544.95,1,541.8817039948002,561.4,24.397870006499716,4.879574001299943,1
2026-04-27,573.8,1,548.2653631958401,573.8,31.91829600519975,6.383659201039951,1
2026-04-28,580.9,1,554.7922905566721,580.9,32.63463680415987,6.526927360831974,1
2026-04-29,560.4,1,560.0138324453377,580.9,26.10770944332785,5.22154188866557,1
2026-04-30,561.15,1,564.1910659562701,580.9,20.88616755466228,4.177233510932456,-1
2026-05-04,562.3,-1,563.5828527650161,561.15,-3.041065956270131,-0.6082131912540263,-1
2026-05-05,561.95,-1,563.2562822120129,561.95,-1.6328527650160822,-0.32657055300321647,-1
2026-05-06,567.9,-1,562.9950257696104,561.95,-1.3062822120128885,-0.2612564424025777,1
2026-05-07,575.9,1,565.5760206156883,575.9,12.904974230389598,2.5809948460779197,1
2026-05-08,571.2,1,567.6408164925507,575.9,10.323979384311656,2.0647958768623313,1
2026-05-11,556.65,1,569.2926531940406,575.9,8.25918350744928,1.6518367014898558,-1
2026-05-12,517.95,-1,559.0241225552325,517.95,-51.34265319404051,-10.268530638808102,-1
2026-05-13,509.2,-1,549.059298044186,509.2,-49.824122555232464,-9.964824511046494,-1
2026-05-14,512.8,-1,541.0874384353488,509.2,-39.859298044186005,-7.971859608837201,-1
2026-05-15,515.05,-1,535.429950748279,512.8,-28.287438435348804,-5.657487687069761,-1
2026-05-18,529.05,-1,531.3539605986232,515.05,-20.379950748279043,-4.075990149655809,-1
2026-05-19,533.15,-1,530.8931684788986,529.05,-2.3039605986232345,-0.46079211972464695,1
2026-05-20,537.1,1,532.1345347831189,537.1,6.206831521101435,1.2413663042202872,1
2026-05-21,548.45,1,535.3976278264951,548.45,16.315465216881194,3.263093043376239,1
2026-05-22,551.25,1,538.568102261196,551.25,15.852372173504932,3.1704744347009868,1
2026-05-25,557.05,1,542.2644818089568,557.05,18.481897738803923,3.6963795477607846,1
2026-05-26,576.0,1,549.0115854471654,576.0,33.735518191043184,6.747103638208637,1
